单词,词性,释义,遗忘次数,记忆次数
drudgery,n.,苦工,0,0
dualism,n.,二元论,0,0
dubious,adj.,可疑的， 不确定的,0,0
ductile,adj. ,易被影响的,0,0
duel,v.,反对,0,0
dull,adj.,无聊的,0,0
duplicate,v.,复制,0,0
duplicitous,adj.,欺骗的,0,0
durable,adj.,持久的， 耐用的,0,0
dwarf,v.,使...变得矮小或不重要,0,0
dwell,v.,居住,0,0
dwindle,v.,减少， 下降,0,0
earnest,adj.,严肃的， 真诚的,0,0
ebb,v.,衰落,0,0
ebullient,adj.,热情洋溢的,0,0
eccentric,adj.,古怪的,0,0
eclectic,adj.,多元的,0,0
eclipse,v.,使...不重要,0,0
economy,n.,节省,0,0
ecstatic,adj.,特别高兴的,0,0
ecumenical,adj.,多元的， 普遍的,0,0
edify,v.,启迪,0,0
effect,v.,引起,0,0
efficacious,adj.,有效果的,0,0
effortless,adj.,不费力的,0,0
effusive,adj.,表达过多感情的,0,0
egalitarian,adj.,平等的,0,0
egalitarianism,n.,平等主义,0,0
egotism,n.,自大,0,0
egregious,adj.,极坏的,0,0
eject,v.,驱逐， 逐出,0,0
elaborate,adj.,精心的， 精细的,0,0
elate,v. ,使兴奋， 使高兴,0,0
electorate,n.,选举人,0,0
elicit,v.,引起,0,0
eligible,adj.,合格的,0,0
eliminate,v.,移除， 去掉,0,0
eloquent,adj.,能说会道的， 能言善辩的,0,0
elucidate,v.,阐释， 阐明,0,0
elude,v.,逃跑， 逃避,0,0
elusive,adj.,难懂的,0,0
embargo,n.,贸易禁令,0,0
embattle,v. ,备战,0,0
embed,v.,嵌入,0,0
embellish,v.,装饰,0,0
emblematic,adj.,象征的， 代表的,0,0
embody,v.,体现,0,0
embolden,v.,鼓舞， 鼓励,0,0
embrace,v.,接受,0,0
emendation,n.,校订,0,0
emergent ,adj.,新兴的,0,0
eminent,adj.,杰出的,0,0
emotive,adj.,引起情绪的,0,0
emphatic,adj.,着重强调的,0,0
empirical,adj.,根据观察或经验的,0,0
employ,v.,使用,0,0
empower,v.,授权,0,0
emulate,v.,模仿，通过模仿而超越,0,0
enamor,v.,使...喜爱,0,0
encapsulate,v.,简要概括,0,0
enchanting,adj.,迷人的,0,0
encomium,n.,赞美,0,0
encounter,v.,遭遇， 遇到,0,0
encroach,v.,侵占,0,0
encumber,v.,阻碍,0,0
encyclopedic,adj.,（如大百科全书般）全面的,0,0
endanger,v.,危害 ,0,0
endemic,adj.,地方性的， 流行的,0,0
endorse,v.,公开支持,0,0
endow,v.,赋予,0,0
enduring,adj.,长期的,0,0
enervate,v.,使...衰弱,0,0
enforce,v.,实施， 强制,0,0
engaging,adj.,吸引人的,0,0
engender,v.,产生,0,0
enigmatic,adj.,难懂的,0,0
enjoin,v.,禁止,0,0
enlighten,v.,启迪， 开导,0,0
enliven,v.,使活跃,0,0
enmity,n.,恶意， 憎恶,0,0
ennoble,v.,使…崇高,0,0
ennui,n.,无趣， 无聊,0,0
enormous,adj.,大量的,0,0
ensue,v. ,紧随其后,0,0
entail,v.,包括， 包含， 使...必然， 牵涉,0,0
entangle,v.,纠缠,0,0
enterprise,n.,活动,0,0
enthrall,v. ,吸引,0,0
entice,v.,诱惑,0,0
entrance,v.,使...着迷,0,0
entreaty,n.,恳求,0,0
entrench,v.,牢固地确立,0,0
entrust,v.,委托， 托付,0,0
envision,v.,想象,0,0
envy,v.,嫉妒,0,0
ephemeral,adj.,短暂的,0,0
episodic,adj.,暂时的,0,0
epitome,n.,典型,0,0
equable,adj.,平静的,0,0
equanimity,n.,平静， 镇定,0,0
equilibrium,n.,平衡,0,0
equitable,adj.,平等的， 公平的,0,0
equivocal,adj.,模棱两可的， 有歧义的,0,0
eradicate,v.,根除,0,0
erect,adj.,笔直的,0,0
erode,v.,腐蚀,0,0
errant,adj.,随意的,0,0
erratic,adj.,飘忽不定的， 没规律的,0,0
erroneous,adj.,错误的,0,0
erstwhile,adv.,过去地,0,0
erudite,adj.,博学的,0,0
escalate,v.,加剧， 恶化,0,0
eschew,v.,避免,0,0
esoteric,adj.,难懂的,0,0
espouse,v.,支持,0,0
essential,adj.,重要的， 必要的,0,0
esteem,n.,尊敬,0,0
estrange,v.,使疏远,0,0
etch,v.,铭记,0,0
ethereal,adj.,虚无的,0,0
ethical,adj.,道德的,0,0
ethos,n.,（团体的）气质， 氛围， 信仰等,0,0
euphemism,n.,委婉语,0,0
euphoria,n.,特别高兴,0,0
evanescent,adj.,短暂的,0,0
evangelist,n.,狂热支持者,0,0
evasive,adj.,回避的， 闪烁其词的,0,0
evenhanded,adj.,公平的,0,0
evince,v.,显示,0,0
eviscerate,v.,使...失去力量,0,0
evocative,adj.,唤起的,0,0
exacerbate,v.,使...恶化,0,0
exacting,adj.,要求高的,0,0
exactitude,n.,准确,0,0
exaggerate,v.,夸大,0,0
exalt,v.,赞美,0,0
exasperate,v.,使...生气,0,0
excavate,v.,开凿， 挖出,0,0
exceptional,adj.,不寻常的,0,0
exclusive,adj.,独有的， 排外的,0,0
excoriate,v.,强烈斥责,0,0
exculpate,v.,开脱罪责,0,0
execrate,v.,痛斥,0,0
exegesis,n.,解释，注释,0,0
exemplar,n.,典型,0,0
exempt,adj.,被免除的,0,0
exert,v.,使用,0,0
exhale,v.,呼出,0,0
exhaustive,adj.,全面的,0,0
exhilarate,v.,使...喜悦或兴奋,0,0
exigent,adj.,紧急的,0,0
exiguous,adj.,极其缺乏的,0,0
exile,n.,流放， 放逐,0,0
exonerate,v.,免罪， 免责,0,0
exorbitant,adj.,过度的， 超出合理范围的,0,0
exotic,adj.,外来的,0,0
expansionist,n.,扩张主义者,0,0
expatriate,v.,驱逐,0,0
expedite,v.,加速， 加快,0,0
expel,v.,驱逐,0,0
expendable,adj.,多余的,0,0
experimental,adj.,新颖的， 创新的,0,0
expiation,n.,赎罪,0,0
explicable,adj.,可以解释的,0,0
explicit,adj.,明白的， 清楚的,0,0
exploit,v.,充分利用,0,0
exposé,n.,揭露黑暗的报道,0,0
exposition,n.,阐释， 解释,0,0
expository,adj.,解释的， 阐释的,0,0
expostulate,v.,争论， 反驳,0,0
expunge,v.,去除,0,0
expurgate,v.,删除（令人反感的内容）,0,0
extenuate,v.,减轻,0,0
exterminate,v.,使灭绝， 消除,0,0
extinguish,v.,熄灭,0,0
extirpate,v.,根除,0,0
extol,v.,赞美,0,0
extraneous,adj., 不重要的， 不相关的,0,0
extrapolate,v.,（依据已知信息）推测,0,0
extremist,n.,极端主义者,0,0
exuberant ,adj.,过量的,0,0
exultant,adj.,狂喜的,0,0
eyesore,n. ,碍眼的事物,0,0
fabricate,v.,编造， 捏造,0,0
facet,n.,某一方面,0,0
facile,adj.,轻率的，肤浅的,0,0
facilitate,v.,辅助， 帮助,0,0
factotum,n.,杂工,0,0
faculty,n.,才能， 本领,0,0
fad,n.,一时流行的事物,0,0
fallacy,n.,错误， 谬论,0,0
fallow,adj.,休耕的,0,0
falsehood,n.,谎言， 谬论,0,0
falsify,v.,篡改， 伪造,0,0
far-fetched,adj.,不切实际的,0,0
far-reaching,adj.,影响广泛的,0,0
fastidious,adj.,小心谨慎的， 挑剔的,0,0
fatal,adj.,致命的,0,0
fathom,v.,理解,0,0
fatigue,n.,疲劳,0,0
fealty,n.,忠诚,0,0
feasible,adj.,可行的,0,0
feat,n.,（彰显技艺等的）成就,0,0
feckless,adj.,虚弱的， 无能的,0,0
fecund,adj.,多产的,0,0
feeble,adj.,衰弱的， 虚弱的,0,0
feign,v.,假装,0,0
felicitous,adj.,合适的,0,0
fell,v.,砍树,0,0
feminism,n.,女权主义,0,0
ferocious,adj.,凶猛的， 残忍的,0,0
fertile,adj.,多产的（即可指农作物， 也可以指思想、想法）,0,0
fervent,adj.,情感强烈的， 热烈的,0,0
fester,v.,恶化,0,0
fetch,v.,卖得(某个价格）,0,0
fetishize,v.,把…当成神物而崇拜,0,0
fickle,adj.,多变的,0,0
fiddle,v.,伪造，篡改,0,0
figment,n. ,虚构的事物,0,0
figurative,adj.,（形象化）比喻的,0,0
finale,n.,大结局,0,0
finesse,n.,技巧高超,0,0
finger,v.,指出,0,0
finicky,adj.,挑剔的,0,0
fissure,n.,裂缝,0,0
fitful,adj.,不规律的， 一阵阵的,0,0
fixate,v.,注视， 全神贯注,0,0
flabbergast,v.,使...惊讶,0,0
flag,v.,衰弱,0,0
flagrant,adj.,臭名昭著的,0,0
flair,n.,天资， 天分,0,0
flamboyant,adj.,引人注意的，酷炫的,0,0
flatter,v.,谄媚， 拍马屁,0,0
fledgling,n.,无经验的人,0,0
flee,v.,逃脱， 逃跑,0,0
fleeting,adj.,短暂的,0,0
flighty,adj.,多变的,0,0
flip,v.,翻动,0,0
flippant,adj.,轻率无礼的， 不严肃的,0,0
flit,v.,快速移动,0,0
florid,adj.,过分修饰的， 花哨的,0,0
flourish,v.,繁荣,0,0
flout,v.,蔑视， 鄙视,0,0
fluctuate,v.,波动， 起伏， 上上下下,0,0
fluid,adj. ,流动的,0,0
flummery,n.,假恭维,0,0
fluster,v.,使...不安,0,0
forage,v.,寻找（食物）,0,0
forbear,v.,克制， 忍耐,0,0
forbidding,adj.,令人畏惧的， 可怕的,0,0
forebode,v.,担忧,0,0
foreboding,n. ,不祥的预感,0,0
foreground,v.,强调,0,0
forerunner,n.,先驱,0,0
foresight,n.,远见,0,0
forestall,v.,阻止,0,0
foretell,v.,预言， 预测,0,0
forge,v.,伪造， 造假,0,0
forgo,v.,放弃(优势),0,0
formidable,adj.,可怕的,0,0
formulaic,adj.,刻板的， 俗套的,0,0
forsake,v.,放弃,0,0
forswear,v.,放弃,0,0
forthcoming,adj.,直白的,0,0
forthwith,adj.,马上， 立刻,0,0
fortuitous,adj.,偶然的,0,0
founder,v.,彻底失败,0,0
fractious,adj.,愤怒的,0,0
frank,adj.,真诚的,0,0
fraudulent,adj.,欺诈的,0,0
free-for-all,n.,混战， 多人为所欲为的失控场面,0,0
fringe,adj.,次要的， 边缘的， 不重要的,0,0
frivolous,adj.,无关紧要的,0,0
frown,v.,皱眉,0,0
frugal,adj.,节俭的,0,0
fuel,v. ,支撑，支持,0,0
fulminate,v.,抨击， 辱骂,0,0
function,n.,重大聚会,0,0
fungible,adj.,可替代的,0,0
furtive,adj.,鬼鬼祟祟的,0,0
fury,n.,狂怒， 暴怒,0,0
fusion,n.,熔合,0,0
fusty,adj.,过时的,0,0
futile,adj.,无用的,0,0
gadfly,n.,讨人厌的人,0,0
gaiety,n.,欢快,0,0
gainsay,v.,否认,0,0
galactic,adj.,星系的,0,0
gall,v., 使...生气,0,0
galvanize,v.,刺激,0,0
gambit,n.,计谋， 策略,0,0
garner,v.,收集,0,0
garrulous,adj.,话多的,0,0
gauge,v.,评估， 判断， 衡量,0,0
gawky,adj.,笨拙的,0,0
generic,adj.,一般的，通有的，通用的,0,0
genial,adj.,友好的,0,0
genteel,adj.,有教养的， 彬彬有礼的,0,0
germane,adj.,相关的,0,0
giddy,adj.,轻浮的，轻狂的,0,0
gigantic,adj.,极大的,0,0
girth,n.,尺寸,0,0
glamorous,adj.,有吸引力的,0,0
gleam,n.,微光,0,0
glean,v.,慢慢收集,0,0
glib,adj.,即兴的,0,0
glisten,v.,表面闪烁光芒的,0,0
gloat,v.,洋洋自得， 幸灾乐祸,0,0
gloomy,adj.,悲伤的,0,0
glorify,v.,赞美,0,0
glum,adj.,悲伤的,0,0
glut,n.,过量,0,0
goad,v.,刺激,0,0
gore,n.,血， 血块,0,0
gossamer,adj.,轻而薄的， 虚无缥缈的,0,0
gourmand,n.,吃货,0,0
gracious,adj.,有礼貌的,0,0
grand,adj.,富丽堂皇的,0,0
grandiose,adj.,宏伟壮观的,0,0
grandstand,adj.,博眼球的,0,0
grant,v.,承认,0,0
grapple,v.,抓住,0,0
gratify,v.,使...满意,0,0
grave,adj.,严肃的,0,0
gravitate,v.,被吸引到...， 倾向,0,0
gregarious,v.,群居的，好交际的,0,0
gridlock,n. ,交通堵塞,0,0
grip,v.,吸引,0,0
grouchy,adj.,易怒的， 脾气不好的,0,0
groundless,adj.,毫无根据的,0,0
grudge,v.,不愿给予或承认,0,0
guesswork,n. ,猜测,0,0
guild,n.,协会,0,0
guile,n.,欺骗,0,0
guru,n.,领袖,0,0
gut,n.,内心深处,0,0
guzzle,v.,狂饮,0,0
habitable,adj.,宜居的,0,0
hackneyed,adj.,陈词滥调的,0,0
hagiography,n.,(夸大的）传记,0,0
hail,n.,欢呼，赞美,0,0
halcyon,adj.,岁月静好的， 安宁的,0,0
half-formulated,adj.,新出现的,0,0
halfhearted,adj.,不认真的， 不热心的,0,0
hallmark,n.,特征,0,0
hallow ,v.,尊敬， 崇敬,0,0
hallucinogen,n.,迷幻剂,0,0
halt,v.,停止,0,0
hamper,adj.,阻碍,0,0
hamstring,v.,损坏,0,0
handicap,n.,障碍,0,0
hands-off,adj.,不干涉的，不插手的,0,0
hand-wringing,n.,焦虑的、绝望的言谈举止,0,0
haphazard,adj.,无序的， 凌乱的,0,0
harbinger,n.,前兆,0,0
hard-boiled,adj.,强硬的， 不动感情的,0,0
hardliner,n.,强硬分子,0,0
hard-nosed,adj.,顽强的,0,0
hardy,adj.,吃苦耐劳的,0,0
harness,v.,利用,0,0
harrow,v.,折磨， 使...痛苦,0,0
harry,v.,打扰， 骚扰,0,0
has-been,n.,过时的人,0,0
hasty,adj.,快速的， 仓促的,0,0
haughty,adj.,高傲的， 傲慢的,0,0
hazardous,adj.,危险的,0,0
heartfelt,adj.,真诚的,0,0
heartrending,adj.,令人心痛的,0,0
hectic,adj.,非常忙碌的,0,0
hedge,n.,故意模棱两可不绝对的言论,0,0
hedonism,n.,享乐主义,0,0
heed,v.,留心， 注意,0,0
hefty,adj.,又大又重的,0,0
helter-skelter,adv.,匆促忙乱地,0,0
herald,n.,前兆,0,0
hereabouts,adv.,在附近,0,0
hereditary,adj.,遗传的,0,0
heresy,n. ,与主流观点相悖的观点,0,0
heretofore,adv.,迄今为止,0,0
hermetic,adj.,密闭的,0,0
heterodox,adj.,异端邪说的， 非主流观点的,0,0
heterogeneous,adj.,组成多样的， 混合的,0,0
hew,v.,遵守,0,0
hiatus,n.,间歇,0,0
hidebound,adj.,守旧的,0,0
hideous,adj.,丑陋吓人的,0,0
hierarchy,n., 等级制度， 有等级划分的组织,0,0
highlight,v.,使...突出,0,0
high-minded,adj.,高尚的,0,0
hinder,v.,阻碍,0,0
histrionic,adj.,戏剧性的， 做作的,0,0
hitch,n.,（隐形的）问题， 难题,0,0
hitherto,adv.,至今,0,0
hoard,v.,贮藏,0,0
hoary,adj.,老掉牙的,0,0
hoax,v.,欺骗,0,0
hodgepodge,n.,混杂， 混合物,0,0
holistic,adj.,整体的,0,0
homogeneous,adj.,同种的，相似的,0,0
hone,v.,磨炼（技能）,0,0
honorific,adj.,尊敬的,0,0
hoodwink,v.,欺骗,0,0
horrific,adj.,可怕的,0,0
hortatory,adj.,劝告的，激励的,0,0
hostile,adj.,不友好的， 敌对的,0,0
hubris,n., 自大， 傲慢,0,0
humanitarian,adj.,人道的， 博爱的,0,0
humdrum,adj.,无聊的， 千篇一律的,0,0
humility,n.,谦虚,0,0
humor,n.,幽默,0,0
hurtle,v.,猛冲， 猛烈碰撞,0,0
husband,v.,节省,0,0
husbandry,n.,农业， 畜牧业， 饲养业,0,0
hyperbole,n.,夸张,0,0
hypercritical,adj.,吹毛求疵的,0,0
hypocrisy,n.,虚伪， 伪善,0,0
hysteria,n.,歇斯底里，情绪失控,0,0
iconoclast,n.,提倡打破旧习的人,0,0
identical,adj.,完全一样的,0,0
ideologue,n.,理论家，提倡者,0,0
ideology,n.,思想体系， 意识形态,0,0
idiosyncrasy,n.,独特的气质,0,0
idle,adj. ,空闲的,0,0
ignorant,adj.,无知的,0,0
ill-advised,adj.,不明智的， 不合理的,0,0
illuminate,v.,阐述清楚,0,0
illusory,adj.,虚假的,0,0
illustrious,adj.,杰出的,0,0
imbibe,v.,喝,0,0
imitate,v.,模仿,0,0
immediate,adj. ,紧靠的，最接近的,0,0
immense,adj.,巨大的,0,0
immerse,v.,浸润， 浸泡,0,0
immolate,v.,用火摧毁,0,0
immortal,adj.,不朽的， 永存的,0,0
immure,v.,囚禁,0,0
immutable,adj.,不变的,0,0
impair,v.,损害,0,0
impartial,adj.,公正的， 不偏不倚的,0,0
impasse,n.,僵局,0,0
impassioned,adj.,充满激情的,0,0
impeccable,adj.,完美无瑕的,0,0
impecunious,adj.,贫穷的,0,0
impede,v.,阻碍,0,0
impenetrable,adj.,难懂的,0,0
imperative,adj.,重要的,0,0
imperial,adj.,帝国的,0,0
imperil,v.,使处于危险,0,0
impersonal,adj. ,没有人情味的,0,0
impertinent,adj.,粗鲁的,0,0
imperturbable,adj.,镇定的， 冷静的,0,0
impervious,adj. ,不能渗透的,0,0
impetuous,adj.,鲁莽的， 仓促的,0,0
impinge,v.,猛烈撞击,0,0
implacable,adj.,不能安抚的， 毫不妥协的,0,0
implicate,v.,牵涉,0,0
implore,v.,恳求， 哀求,0,0
impolitic,adj.,不明智的,0,0
impose,v.,把…强加于,0,0
imposter,n.,冒名顶替的人,0,0
impotent,adj.,无力的， 无效的,0,0
impoverished,adj.,贫瘠的， 贫穷的,0,0
impregnable,adj.,坚固的,0,0
impressionable,adj.,易受影响的,0,0
improvise,v.,即兴表演,0,0
impudent,adj.,无礼的,0,0
impugn,v.,（因人不诚实而）批评抨击,0,0
impulsive,adj.,冲动的， 不加思索的,0,0
impunity,v.,免于处罚， 免罪,0,0
impute,v.,归罪于， 归咎于,0,0
inadvertent,adj.,粗心的， 不留意的,0,0
inappropriate,adj. ,不适当的，不合适的,0,0
inattention,n.,不留心， 不注意,0,0
incendiary,adj.,纵火的,0,0
incense,v.,激怒,0,0
incentive,n.,激励,0,0
inching,n.,缓慢移动,0,0
inchoate,adj.,早期的,0,0
incipient,adj.,开始的,0,0
incisive,adj.,一针见血的， 深刻尖锐的,0,0
incivility,n.,不礼貌,0,0
inclusive,adj.,包罗万象的，全面的,0,0
incomparable,adj.,无与伦比的,0,0
incompatible,adj.,无法共存的， 不可兼容的,0,0
inconclusive,adj.,无结果的， 不确定的,0,0
incontrovertible,adj.,不容质疑的,0,0
increment,n.,增长， 递增,0,0
incumbent,n.,在职官员,0,0
incursion,n.,侵入， 侵犯,0,0
indebted,adj.,感激的,0,0
indefatigable,adj.,不知疲倦的,0,0
indemnify,v. ,赔偿,0,0
indeterminate,adj.,不确定的,0,0
indict,v.,指控,0,0
indifferent,adj.,冷漠的,0,0
indigenous,adj.,当地的,0,0
indignant,adj.,非常愤怒的,0,0
indiscernible,adj. ,不明显的,0,0
indiscriminate,adj.,不加区分的， 不加选择的,0,0
indispensable,adj.,不可缺少的,0,0
indisputable,adj.,不容置疑的,0,0
individualism,n.,个人主义,0,0
indolent,adj.,懒惰的,0,0
induce,v.,诱导,0,0
indulgent,adj.,纵容的,0,0
industry,n.,努力,0,0
ineffable,adj. ,难以言表的,0,0
inept,adj.,无能的,0,0
inertia,n.,不动， 不活跃,0,0
inestimable,adj.,无法估量的,0,0
inevitable,adj.,不可避免的， 必然的,0,0
inexorable,adj.,无动于衷的，无情的,0,0
inexpressible,adj.,无以言表的,0,0
inextricable,adj.,纠缠不清的， 无法解脱的,0,0
infectious,adj.,传染的,0,0
infinite,adj.,无限的,0,0
inflammatory,adj.,煽动性的,0,0
inform,v.,通知,0,0
infuriate,v.,使...愤怒,0,0
ingenious,adj.,天才的， 聪明的,0,0
ingenuous,adj.,纯朴的， 真诚的,0,0
ingratiate,v.,讨好,0,0
inhale,v.,吸入,0,0
inhibit,v.,抑制， 限制,0,0
inhospitable,adj.,不友好的,0,0
inimical,adj.,有害的， 不友好的,0,0
initiate,v.,开始， 启动,0,0
innate,adj.,天生的,0,0
innocuous,adj.,无害的,0,0
inoculate,v.,（给某人）灌输， 注入（想法）,0,0
inquisitive,adj. ,好奇的,0,0
insatiable,adj.,无法满足的,0,0
inscrutable,adj.,难以理解的,0,0
insensitive,adj.,漠视的， 不在乎的,0,0
insidious,adj.,阴险的， 暗中为害的,0,0
insightful,adj.,有洞察力的,0,0
insinuate,v.,暗示(表不满),0,0
insipid,adj.,无聊的,0,0
insolent,adj.,无礼的,0,0
insouciance,n.,无忧无虑， 不操心,0,0
instantiate,v.,举例， 例证,0,0
instigate,v.,激起， 挑起,0,0
instinct,n.,本能,0,0
instrumental,adj.,重要的,0,0
insufferable,adj.,无法忍受的,0,0
insular,adj.,孤立的,0,0
insulate,v.,绝缘， 绝热， 隔音,0,0
insult,v.,侮辱， 辱骂,0,0
insurrection,n.,造反,0,0
intact,adj.,完整的,0,0
integrity,n.,正直,0,0
intelligible,adj.,可以理解的,0,0
interchangeable,adj.,可交换的， 相似的,0,0
interdisciplinary ,adj.,交叉学科的,0,0
interjection,n.,插话,0,0
interlocutor,n.,对话者,0,0
interlope,v.,入侵， 干涉,0,0
intermediary,adj.,（作为）中间人(的),0,0
interminable,adj.,持续的， 没完没了的,0,0
intermittent,adj. ,间歇的，断断续续的,0,0
interweave,v.,混合,0,0
intimate,adj.,亲密无间的,0,0
intimidate,v. ,恐吓,0,0
intoxicate,v.,使...陶醉， 沉醉,0,0
intransigent,adj.,不妥协的， 固执的,0,0
intrigue,n.,密谋， 诡计,0,0
intriguing,adj.,非常有趣的,0,0
intrinsic,adj.,核心的， 内在的,0,0
introspect,v. ,自省,0,0
intrude,v.,闯入,0,0
intuition,n.,直觉,0,0
inure,v.,习惯于（不好的事物）,0,0
invalidate,v.,削弱， 使...无效,0,0
invaluable,adj.,极具价值的,0,0
invective,n.,辱骂， 侮辱,0,0
inveigle,v.,诱骗,0,0
inverse,adj.,相反的,0,0
invert,v. ,颠倒，倒置,0,0
invertebrate,adj.,软弱无力的,0,0
inveterate,adj.,根深蒂固的,0,0
invidious,adj.,令人反感的,0,0
invigorate,v.,使...有活力,0,0
inviting,adj.,吸引人的,0,0
invoke,v.,引述,0,0
involuntary ,adj.,无意识的,0,0
involved,adj.,复杂的,0,0
irascible,adj.,易怒的， 坏脾气的,0,0
irenic,adj.,和平的,0,0
iridescent,adj.,色彩斑斓的；辉煌灿烂的,0,0
irk,v.,使…厌烦,0,0
irreversible,adj.,不可逆的,0,0
irritate,v.,使...不高兴,0,0
iterate,v.,重说一遍， 重做一遍,0,0
itinerant,adj.,巡游的,0,0
jade,v.,使…厌烦,0,0
jaded,adj.,厌倦的，无聊的,0,0
jar,v.,使...不安,0,0
jaundice,n. ,嫉妒,0,0
jealous,adj.,死守严防的， 精心守护的,0,0
jejune,adj.,无聊的,0,0
jeopardize,v.,使...危险,0,0
jettison,v.,拒绝， 放弃,0,0
jockey,v.,不择手段的谋取有利地位,0,0
jovial,adj.,高兴,0,0
jubilant,adj.,喜悦的,0,0
jubilation,n.,高兴， 喜悦,0,0
judicious,adj.,有正确判断力的,0,0
justification,n.,理由,0,0
juvenile,adj.,幼稚， 不成熟的,0,0
juxtapose,v.,并排放置,0,0
keen,adj.,对...感兴趣的,0,0
kindle,v.,点燃,0,0
kindred,adj.,相关的， 相似的,0,0
kinfolk,n.,亲戚,0,0
knotty,adj.,复杂的,0,0
laborious,adj.,费力的,0,0
labyrinthine ,adj.,复杂的,0,0
lachrymose,adj.,催泪的， 悲伤的,0,0
laconic,adj.,简洁的， 用词少的,0,0
laggard,adj.,缓慢的；落后的,0,0
lambaste,v.,严厉批评,0,0
lament,v.,哀叹， 哀悼,0,0
languish,v.,衰落， 不活跃,0,0
lapse,v.,停止,0,0
lassitude,n.,无精打采,0,0
latent,adj.,潜藏的， 潜在的,0,0
latitude,n.,自由,0,0
laudatory,adj.,赞美的,0,0
laurel,n.,荣誉,0,0
lavish,adj.,奢华的,0,0
layperson,n.,外行,0,0
leach,v.,被冲走， 滤去,0,0
leading,adj.,最重要的,0,0
leak,v.,泄漏信息,0,0
leap,v.,（话题、言论）跳跃,0,0
leaven,v.,使...生动， 使...更有趣,0,0
mar,v.,损毁， 损伤,0,0
legible,adj.,清楚的，易读的,0,0
legitimate,adj.,合法的,0,0
lengthy,adj.,冗长的,0,0
lenient,adj.,宽容的,0,0
lest,conj.,唯恐,0,0
lethargic,adj.,无精打采的,0,0
level-headed,adj.,头脑清晰冷静的,0,0
leveling,n.,使平等，使一致,0,0
levity,n.,不严肃， 轻浮,0,0
liberal,adj.,慷慨的,0,0
license,n.,自由,0,0
like-minded,adj.,思维相似的， 想法一致的,0,0
liken,v.,比较,0,0
limpid,adj.,清澈透明的,0,0
linkage,n.,连接， 联结,0,0
lionize,v.,重视， 尊敬,0,0
list,n.,倾斜,0,0
listless,adj.,没精打采的,0,0
loath,adj.,不情愿的,0,0
locale,n.,地点,0,0
lockstep,n., 因循守旧；步调一致,0,0
long,v.,渴望,0,0
long-winded,adj.,冗长无聊的,0,0
loose,adj.,松弛的,0,0
lopsided,adj.,不均衡的,0,0
loquacious,adj.,话多的,0,0
lucid,adj.,清晰的,0,0
lucrative,adj.,盈利的， 赚钱的,0,0
ludicrous,adj.,滑稽可笑的,0,0
lugubrious,adj.,悲伤的,0,0
lull,v.,使平静,0,0
luminary,n.,杰出人物,0,0
lure,v.,诱惑,0,0
lurid,adj.,令人震惊的， 耸人听闻的,0,0
lurk,v.,潜藏,0,0
lush,adj.,茂盛的， 郁郁葱葱的,0,0
luxuriant,adj.,繁茂的,0,0
machination,n.,诡计,0,0
madcap,adj.,鲁莽的，行为冲动的,0,0
maelstrom,n.,混乱，动乱,0,0
magisterial,adj.,权威的,0,0
magnanimous,adj.,大度的， 慷慨的,0,0
magnify,v.,放大,0,0
majestic,adj.,庄严威武的,0,0
makeshift,n.,权宜之计,0,0
malady,n.,疾病,0,0
malfeasance,n.,违法行为,0,0
malice,n.,恶意，怨恨,0,0
malign,adj.,邪恶的， 恶毒的,0,0
malignant,adj.,有害的,0,0
malinger,v.,装病以逃避工作,0,0
malleable,adj.,易适应的，能适应的,0,0
malodor,n.,恶臭,0,0
malodorous ,adj.,难闻的， 恶臭的,0,0
manacle,v.,限制,0,0
mandate,v.,命令,0,0
manifest,adj.,显然的， 明显的,0,0
manipulate,v.,操控,0,0
marginal,adj.,边缘的， 不重要的,0,0
martinet,n.,要求严格纪律的人,0,0
marvel,v.,震惊， 惊讶,0,0
mastermind,n.,策划者,0,0
materialize,v.,实现,0,0
maverick,n.,标新立异之人,0,0
mawkish,adj.,恶心做作的,0,0
maze,n.,迷宫,0,0
meager,adj.,不足的， 少的,0,0
meander,v.,漫无目的地走动,0,0
measured,adj.,仔细的，有分寸的,0,0
meddle,v.,干涉,0,0
mediate,v.,调解,0,0
mediocre,adj.,平庸的， 平凡的,0,0
melancholy,n.,忧伤,0,0
meld,v.,混合,0,0
menace ,v.,威胁,0,0
mendacious,adj.,欺骗的， 不诚实的,0,0
mercenary,adj.,唯利是图的,0,0
mercurial,adj.,性格多变的,0,0
meretricious,adj.,俗里俗气的,0,0
metaphor,n.,比喻,0,0
mete,v.,分配,0,0
methodical,adj.,有条理的,0,0
methodology,n.,方法论,0,0
meticulous,adj.,谨慎的,0,0
midst ,n.,当中,0,0
might,n.,力量， 权力,0,0
mighty,adj.,强大的,0,0
milieu,n.,环境,0,0
millstone,n.,重担,0,0
mimic,v.,模仿,0,0
mince,v.,装腔作势,0,0
ministration,n.,帮助,0,0
minuscule,adj.,微小的,0,0
minutia,n.,细节， 小事,0,0
mirror,v.,与...相似,0,0
mirth,n.,欢乐,0,0
misanthrope,n.,厌恶人类的人，愤世嫉俗的人,0,0
misconception,n.,误解， 错觉,0,0
miserly,adj.,吝啬的,0,0
misfeasance,n.,过失， 不法行为,0,0
misgiving,n.,不安,0,0
mishandle,v.,虐待,0,0
mishap,n.,不幸,0,0
misnomer,n.,误称,0,0
